trophicDiet,trophicOrig,Picture,rachelSpp,rachelCommon,trophicLevel,trophicLevel.se,spp,common,phylum,taxLvl,species,genus,family,order,class,superclass,subphylum,kingdom,raw.spp,isSpecies,correctSpp
,,y,Anasimus latus,stilt spider crab ,NA,NA,Aasimus latus,stilt spider crab,Arthropoda,Species,Anasimus latus,Anasimus,Inachoididae,Decapoda,Malacostraca,NA,Crustacea,Animalia,AASIMUS LATUS,TRUE,TRUE
,,y,Abietinaria,sea fir,NA,NA,Abietinaria,sea fir,Cnidaria,Genus,NA,Abietinaria,Sertulariidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,Abietinaria sp.,FALSE,TRUE
,,y,Abietinaria,sea fir,NA,NA,Abietinaria,sea fir,Cnidaria,Genus,NA,Abietinaria,Sertulariidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,Abietinaria sp. A (Clark 2006),FALSE,TRUE
,,n,Abietinaria greenei,sea fir,NA,NA,Abietinaria greenei,NA,Cnidaria,Species,Abietinaria greenei,Abietinaria,Sertulariidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,Abietinaria greenei,TRUE,TRUE
,,n,Abisa,bivalve,NA,NA,Abisa,NA,Mollusca,Genus,NA,Abisa,Pteriidae,Pterioida,Bivalvia,NA,NA,Animalia,ABISA,FALSE,TRUE
,,y,Ablennes hians,flat needlefish ,4.5,0.8,Ablennes hians,soft corals,Chordata,Species,Ablennes hians,Ablennes,Belonidae,Beloniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ABLENNES HIANS,TRUE,TRUE
,,y,Abralia veranyi,eyeflash squid,NA,NA,Abralia veranyi,Midwater Squid,Mollusca,Species,Abralia veranyi,Abralia,Enoploteuthidae,Oegopsida,Cephalopoda,NA,NA,Animalia,ABRALIA VERANYI,TRUE,TRUE
,,y,Abraliopsis felis,squid ,NA,NA,Abraliopsis felis,Enope squid,Mollusca,Species,Abraliopsis felis,Abraliopsis,Enoploteuthidae,Teuthida,Cephalopoda,NA,NA,Animalia,Abraliopsis felis,TRUE,TRUE
,,y,Acanella arbuscula ,coral,NA,NA,Acanella arbuscula,NA,Cnidaria,Species,Acanella arbuscula,Acanella,Isididae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,ACANELLA ARBUSCULA,TRUE,TRUE
,,,Acanella arbuscula ,coral ,NA,NA,Acanella arbuscula,NA,Cnidaria,Species,Acanella arbuscula,Acanella,Isididae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,ACANELLA ARBUSCULA (BONSAI CORAL),TRUE,TRUE
,,y,Acanthascus,sponge,NA,NA,Acanthascus,Round-Lipped Boot Sponge,Porifera,Genus,NA,Acanthascus,Rossellidae,Lyssacinosida,Hexactinellida,NA,NA,Animalia,Acanthascus sp.,FALSE,TRUE
,,y,Acanthephyra,skarlet shrimps ,NA,NA,Acanthephyra,peaked shrimp,Arthropoda,Genus,NA,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHEPHYRA  SP.,FALSE,TRUE
,,,Acanthephyra,skarlet shrimps ,NA,NA,Acanthephyra,peaked shrimp,Arthropoda,Genus,NA,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHEPHYRA SP.,FALSE,TRUE
,,,Acanthephyra,skarlet shrimps ,NA,NA,Acanthephyra,peaked shrimp,Arthropoda,Genus,NA,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Acanthephyra spp.,FALSE,TRUE
