"s.reg","year","trophicGroup","region","stemp","btemp","wtcpue.sum","trophicLevel.region.wmean","trophicLevel.sum","trophicLevel.wmean","trophicLevel.se.squareSum","nSpp.perGroup.perYear","nSpp.perGroup"
"ai",1983,"(2.25,2.5]","AFSC_Aleutians",6.5,4.95,0.093275,3.64256483994924,2.4,2.4,0.0441,1,1
"ai",1983,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",1983,"(2.75,3]",NA,NA,NA,0,0,0,0,0,0,0
"ai",1983,"(3,3.25]","AFSC_Aleutians",7.2653504019129,4.64885649165649,2.68314488333333,3.64256483994924,41.33,3.17851810148555,0.9268,13,26
"ai",1983,"(3.25,3.5]","AFSC_Aleutians",7.27779525706529,4.66319910893967,176.931633606151,3.64256483994924,54.56,3.42296659421689,2.4752,16,31
"ai",1983,"(3.5,3.75]","AFSC_Aleutians",7.43168406058847,4.92259993538403,140.57280150124,3.64256483994924,40.07,3.57212434401777,1.4403,11,29
"ai",1983,"(3.75,4]","AFSC_Aleutians",7.1116712652058,4.76808510069169,15.6515550868056,3.64256483994924,26.7,3.82296708593274,0.7389,7,10
"ai",1983,"(4,4.25]","AFSC_Aleutians",7.35771330881634,4.54115995744617,48.5378881566468,3.64256483994924,32.9,4.14269259912481,1.8417,8,17
"ai",1983,"(4.25,4.5]","AFSC_Aleutians",7.29818716006216,4.65520590073009,34.0642174236111,3.64256483994924,48.28,4.31829379793866,2.2553,11,16
"ai",1983,"unknown","AFSC_Aleutians",6.95454625249303,4.67540720676546,8.40822764583333,3.64256483994924,0,NA,0,50,576
"ai",1986,"(2.25,2.5]","AFSC_Aleutians",8.11203703703704,4.79761904761905,0.1978,3.63175409238481,2.4,2.4,0.0441,1,1
"ai",1986,"(2.5,2.75]","AFSC_Aleutians",5,NA,0.00869,3.63175409238481,2.71,2.71,0.0169,1,1
"ai",1986,"(2.75,3]",NA,NA,NA,0,0,0,0,0,0,0
"ai",1986,"(3,3.25]","AFSC_Aleutians",7.21949601471977,4.49196262464387,6.36082371746032,3.63175409238481,44.43,3.18336011645751,1.1745,14,26
