"","Taxon","variable","value","Year"
"1","fish eggs unident.","X1982",1,1982
"2","fish larvae unident.","X1982",1,1982
"3","fish unident.","X1982",1,1982
"4","Petromyzontidae","X1982",1,1982
"5","Lampetra tridentata","X1982",2,1982
"6","Lamna ditropis","X1982",1,1982
"7","Squalus acanthias","X1982",1,1982
"8","Somniosus pacificus","X1982",1,1982
"9","Rajidae unident.","X1982",1,1982
"10","skate egg case unident.","X1982",1,1982
"11","Bathyraja sp. egg case","X1982",1,1982
"12","Raja sp.","X1982",3,1982
"13","Raja binoculata","X1982",2,1982
"14","Raja rhina","X1982",3,1982
"15","Raja stellulata","X1982",3,1982
"16","Bathyraja sp.","X1982",2,1982
"17","Bathyraja abyssicola","X1982",3,1982
"18","Bathyraja interrupta","X1982",3,1982
"19","Bathyraja interrupta
egg case","X1982",3,1982
"20","Bathyraja taranetzi","X1982",3,1982
"21","Bathyraja parmifera","X1982",3,1982
"22","Bathyraja aleutica","X1982",3,1982
"23","Bathyraja parmifera
egg case","X1982",3,1982
"24","Bathyraja maculata","X1982",3,1982
"25","Bathyraja smirnovi","X1982",3,1982
"26","Bathyraja violacea","X1982",3,1982
"27","Pleuronectiformes","X1982",1,1982
"28","Citharichthys sp.","X1982",3,1982
"29","Citharichthys sordidus","X1982",3,1982
"30","Atheresthes stomias","X1982",3,1982
"31","Atheresthes sp.","X1982",1,1982
"32","Atheresthes evermanni","X1982",3,1982
"33","Reinhardtius hippoglossoides","X1982",1,1982
"34","Hippoglossus stenolepis","X1982",1,1982
"35","Hippoglossoides sp.","X1982",1,1982
"36","Hippoglossoides elassodon","X1982",2,1982
"37","Hippoglossoides robustus","X1982",2,1982
"38","Lyopsetta exilis","X1982",3,1982
"39","Lyopsetta glacialis","X1982",3,1982
"40","Parophrys vetulus","X1982",3,1982
"41","Microstomus pacificus","X1982",1,1982
"42","Glyptocephalus zachirus","X1982",1,1982
"43","Limanda aspera","X1982",1,1982
"44","Limanda proboscidea","X1982",1,1982
"45","Limanda sakhalinensis","X1982",1,1982
"46","Platichthys stellatus","X1982",1,1982
"47","Platichthys stellatus X Pleuronectes quadrituberculatus.","X1982",1,1982
"48","Psettichthys melanostictus","X1982",3,1982
"49","Lepidopsetta sp.","X1982",1,1982
"50","Lepidopsetta polyxystra","X1982",3,1982
"51","Lepidopsetta bilineata","X1982",3,1982
"52","Isopsetta isolepis","X1982",3,1982
"53","Pleuronectes quadrituberculatus","X1982",1,1982
"54","Pleuronichthys sp.","X1982",3,1982
"55","Agonidae","X1982",1,1982
"56","Pallasina barbata","X1982",1,1982
"57","Percis japonicus","X1982",1,1982
"58","Leptagonus sp.","X1982",2,1982
"59","Leptagonus leptorhynchus","X1982",2,1982
"60","Leptagonus frenatus","X1982",2,1982
"61","Agonopsis vulsa","X1982",3,1982
"62","Odontopyxis trispinosa","X1982",3,1982
"63","Bathyagonus sp.","X1982",2,1982
"64","Bathyagonus alascanus","X1982",2,1982
"65","Bathyagonus infraspinatus","X1982",3,1982
"66","Bathyagonus pentacanthus","X1982",3,1982
"67","Bathyagonus nigripinnis","X1982",3,1982
"68","Podothecus accipenserinus","X1982",1,1982
"69","Podothecus veternus","X1982",3,1982
"70","Aspidophoroides bartoni","X1982",1,1982
"71","Aspidophoroides olriki","X1982",2,1982
"72","Anoplagonus inermis","X1982",3,1982
"73","Chesnonia verrucosa","X1982",3,1982
"74","Occella dodecaedron","X1982",1,1982
"75","Hypsagonus quadricornis","X1982",1,1982
"76","Ammodytes hexapterus","X1982",1,1982
"77","Anarrhichthys ocellatus","X1982",3,1982
"78","Anarhichas orientalis","X1982",1,1982
"79","Anoplopoma fimbria","X1982",1,1982
"80","Aulorhynchus flavidus","X1982",3,1982
"81","Bathymasteridae","X1982",2,1982
"82","Ronquilus jordani","X1982",3,1982
"83","Bathymaster signatus","X1982",1,1982
"84","Clupea pallasi","X1982",1,1982
"85","Alosa sapidissima","X1982",3,1982
"86","Cottidae","X1982",1,1982
"87","Icelinus borealis","X1982",3,1982
"88","Gymnocanthus sp.","X1982",2,1982
"89","Gymnocanthus pistilliger","X1982",3,1982
"90","Gymnocanthus tricuspis","X1982",3,1982
"91","Gymnocanthus galeatus","X1982",3,1982
"92","Gymnocanthus detrisus","X1982",3,1982
"93","Radulinus asprellus","X1982",3,1982
"94","Artediellus sp.","X1982",2,1982
"95","Artediellus miacanthus","X1982",3,1982
"96","Artediellus pacificus","X1982",2,1982
"97","Artediellus scaber","X1982",3,1982
"98","Malacocottus sp.","X1982",1,1982
"99","Malacocottus kincaidi","X1982",3,1982
"100","Malacocottus zonurus","X1982",1,1982
"101","Hemilepidotus sp.","X1982",1,1982
"102","Hemilepidotus gilberti","X1982",3,1982
"103","Hemilepidotus spinosus","X1982",3,1982
"104","Hemilepidotus zapus","X1982",3,1982
