"","Taxon","variable","value","Year"
"1","Hydrozoa","X1982",1,1982
"2","hydroid unident.","X1982",2,1982
"3","Hydroid sp. A","X1982",3,1982
"4","Hydractinia sp.","X1982",3,1982
"5","Sertularia robusta","X1982",3,1982
"6","Scyphozoa","X1982",1,1982
"7","Chrysaora sp.","X1982",1,1982
"8","Chrysaora melanaster","X1982",1,1982
"9","Phacellophora camtschatica","X1982",1,1982
"10","Aequorea sp.","X1982",3,1982
"11","Phacellophora sp.","X1982",1,1982
"12","Aurelia sp.","X1982",1,1982
"13","Aurelia labiata","X1982",3,1982
"14","Cyanea sp.","X1982",1,1982
"15","Cyanea capillata","X1982",1,1982
"16","Anthozoa","X1982",2,1982
"17","Alcyonacea","X1982",2,1982
"18","Gersemia sp.","X1982",1,1982
"19","Gersemia rubiformis","X1982",3,1982
"20","Gorgonacea","X1982",2,1982
"21","Paragorgia sp.","X1982",1,1982
"22","Paragorgia arborea","X1982",2,1982
"23","Pennatulacea","X1982",1,1982
"24","Virgularia sp.","X1982",3,1982
"25","Virgularidae","X1982",1,1982
"26","Stylatula sp.","X1982",3,1982
"27","Halipteris sp.","X1982",3,1982
"28","Halipteris finmarchia","X1982",3,1982
"29","Halipteris willemoesi","X1982",3,1982
"30","Actiniaria","X1982",1,1982
"31","Actinauge verrillii","X1982",3,1982
"32","Metridium sp.","X1982",1,1982
"33","Metridium senile","X1982",3,1982
"34","Metridium farcimen (=Metridium giganteum)","X1982",3,1982
"35","Stomphia didemon","X1982",3,1982
"36","Stomphia sp.","X1982",3,1982
"37","Stomphia coccinea","X1982",3,1982
"38","Urticina sp.","X1982",3,1982
"39","Urticina crassicornis","X1982",3,1982
"40","Urticina lofotensis","X1982",3,1982
"41","Urticina columbiana","X1982",3,1982
"42","Bathyphelia australis","X1982",3,1982
"43","Cribrinopsis fernaldi","X1982",3,1982
"44","Liponema brevicornis","X1982",1,1982
"45","Actinostolidae","X1982",1,1982
"46","Scleractinia unident.","X1982",3,1982
"47","Amphilaphis sp.","X1982",2,1982
"48","Ctenophora","X1982",1,1982
"49","Beroe sp.","X1982",3,1982
"50","Polychaeta","X1982",1,1982
"51","worm unident.","X1982",1,1982
"52","Eunice valens","X1982",3,1982
"53","tube worm unident.","X1982",1,1982
"54","Aphroditidae","X1982",1,1982
"55","Aphrodita sp.","X1982",1,1982
"56","Aphrodita negligens","X1982",3,1982
"57","Nephtyidae unident.","X1982",3,1982
"58","Nereidae","X1982",3,1982
"59","Nereis sp.","X1982",3,1982
"60","Cheilonereis cyclurus","X1982",3,1982
"61","Polynoidae","X1982",1,1982
"62","Eunoe sp.","X1982",1,1982
"63","Eunoe nodosa","X1982",2,1982
"64","Eunoe depressa","X1982",2,1982
"65","Sabellidae","X1982",3,1982
"66","Serpula vermicularis","X1982",3,1982
"67","Serpula columbiana","X1982",3,1982
"68","Serpula sp.","X1982",3,1982
"69","Hirudinea unident.","X1982",1,1982
"70","Carcinobdella
sp.","X1982",3,1982
"71","Notostombdella (=Carcinobdella) cyclostoma","X1982",3,1982
"72","Amphipoda","X1982",1,1982
"73","Gammaridae","X1982",1,1982
"74","Caprella sp.","X1982",1,1982
"75","Isopoda","X1982",1,1982
"76","Saduria entomon","X1982",3,1982
"77","Mysidacea","X1982",2,1982
"78","Cirripedia","X1982",1,1982
"79","Thoracica","X1982",1,1982
"80","Balanus sp.","X1982",1,1982
"81","Balanus balanus","X1982",3,1982
"82","Balanus evermanni","X1982",3,1982
"83","Balanus hesperius","X1982",3,1982
"84","Balanus rostratus","X1982",3,1982
"85","shrimp unident.","X1982",1,1982
"86","Pandalidae","X1982",1,1982
"87","Pandalus sp.","X1982",2,1982
"88","Pandalus jordani","X1982",3,1982
"89","Pandalus borealis","X1982",2,1982
"90","Pandalus tridens","X1982",2,1982
"91","Pandalus platyceros","X1982",2,1982
"92","Pandalus goniurus","X1982",2,1982
"93","Pandalus hypsinotus","X1982",2,1982
"94","Pandalopsis dispar","X1982",3,1982
"95","Hippolytidae","X1982",1,1982
"96","Spirontocaris sp.","X1982",2,1982
"97","Spirontocaris arcuata","X1982",2,1982
"98","Spirontocaris lamellicornis","X1982",2,1982
"99","Eualus sp.","X1982",2,1982
"100","Eualus barbatus","X1982",3,1982
"101","Eualus fabricii","X1982",3,1982
"102","Eualus gaimardii","X1982",3,1982
"103","Eualus macilentus","X1982",3,1982
"104","Eualus suckleyi","X1982",3,1982
"105","Lebbeus sp.","X1982",3,1982
"106","Lebbeus groenlandicus","X1982",2,1982
"107","Lebbeus polaris","X1982",3,1982
"108","Crangonidae","X1982",1,1982
"109","Crangon sp.","X1982",2,1982
"110","Crangon abyssorum","X1982",3,1982
"111","Crangon alaskensis","X1982",3,1982
"112","Crangon communis","X1982",2,1982
"113","Crangon dalli","X1982",2,1982
"114","Crangon septemspinosa","X1982",2,1982
"115","Lissocrangon stylirostris","X1982",3,1982
"116","Sclerocrangon
sp.","X1982",3,1982
"117","Sclerocrangon boreas","X1982",3,1982
"118","Argis sp.","X1982",2,1982
"119","Argis alaskensis","X1982",3,1982
"120","Argis dentata","X1982",3,1982
"121","Argis lar","X1982",3,1982
"122","Argis crassa","X1982",3,1982
"123","Argis levior","X1982",3,1982
"124","crab unident.","X1982",1,1982
"125","Cancer sp.","X1982",1,1982
"126","Cancer magister","X1982",1,1982
"127","Cancer oregonensis","X1982",1,1982
"128","Cancer productus","X1982",3,1982
"129","Oregonia gracilis","X1982",1,1982
"130","Chionoecetes sp.","X1982",1,1982
"131","Chionoecetes tanneri","X1982",1,1982
"132","Chionoecetes bairdi","X1982",1,1982
"133","Chionoecetes angulatus","X1982",1,1982
"134","Chionoecetes opilio","X1982",1,1982
"135","Chionoecetes
hybrid","X1982",1,1982
"136","Hyas sp.","X1982",1,1982
"137","Hyas coarctatus","X1982",1,1982
"138","Hyas lyratus","X1982",1,1982
"139","Telmessus cheiragonus","X1982",1,1982
"140","Paguridae","X1982",1,1982
"141","Labidochirus splendescens","X1982",3,1982
"142","Pagurus sp.","X1982",1,1982
"143","Pagurus brandti","X1982",3,1982
"144","Pagurus aleuticus","X1982",3,1982
"145","Pagurus confragosus","X1982",3,1982
"146","Pagurus cornutus","X1982",3,1982
"147","Pagurus dalli","X1982",3,1982
"148","Pagurus kennerlyi","X1982",3,1982
"149","Pagurus trigonocheirus","X1982",3,1982
"150","Pagurus beringanus","X1982",3,1982
"151","Pagurus ochotensis","X1982",3,1982
"152","Pagurus rathbuni","X1982",3,1982
"153","Pagurus tanneri","X1982",3,1982
"154","Pagurus capillatus","X1982",3,1982
"155","Elassochirus tenuimanus","X1982",3,1982
"156","Elassochirus cavimanus","X1982",3,1982
"157","Elassochirus gilli","X1982",3,1982
"158","Lithodes aequispina","X1982",1,1982
"159","Dermaturus mandti","X1982",1,1982
"160","Hapalogaster sp.","X1982",1,1982
"161","Hapalogaster grebnitzkii","X1982",1,1982
"162","Phyllolithodes papillosus","X1982",3,1982
"163","Paralithodes camtschaticus","X1982",1,1982
"164","Paralithodes platypus","X1982",1,1982
"165","Placetron wosnessenskii","X1982",1,1982
"166","Erimacrus isenbeckii","X1982",1,1982
"167","Pugettia sp.","X1982",3,1982
"168","Pugettia gracilis","X1982",3,1982
"169","Mollusca","X1982",1,1982
"170","Polyplacophora unident.","X1982",1,1982
"171","Amicula vestita","X1982",1,1982
"172","Nudibranchia unident.","X1982",1,1982
"173","Onchidoris bilamellata","X1982",3,1982
"174","Tochuina tetraquetra","X1982",3,1982
