"","regspp","region","spp","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-184.379995416185,NA,NA,-187.18543554007,NA,NA,NA,NA,-182.291149431071,NA,NA,-178.424015322108,NA,NA,-174.005964694955,NA,NA,-179.054679770697,NA,-175.099811690355,NA,-180.699601861191,NA,-174.42692458327,NA,NA,NA,-178.502063532331,NA
"2","AFSC_Aleutians_Albatrossiapectoralis","AFSC_Aleutians","Albatrossiapectoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.380744604428,NA,NA,-174.228549127391,NA,NA,NA,NA,-179.507159666826,NA,NA,-178.220301075896,NA,NA,-178.839660583553,NA,NA,-173.14286654239,NA,-173.172953191767,NA,-174.835429277181,NA,-174.189144697557,NA,NA,NA,-178.468005246812,NA
"3","AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-186.572697371928,NA,NA,-166.61272969163,NA,NA,NA,NA,-180.626432712439,NA,NA,-178.385104978447,NA,NA,-186.371597667245,NA,NA,-186.44806503672,NA,-186.447054364624,NA,-186.415687283835,NA,-186.638501107327,NA,NA,NA,-186.448659085128,NA
"4","AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-172.668098512086,NA,NA,-172.067276284891,NA,NA,NA,NA,-175.633000242181,NA,NA,-177.871763178872,NA,NA,-179.954303051692,NA,NA,-179.402534382105,NA,-178.924118432521,NA,-176.380531718352,NA,-175.666465121922,NA,NA,NA,-180.705985072582,NA
"5","AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.351538333333,NA,NA,-181.677487831888,NA,NA,NA,NA,-174.067753360822,NA,NA,-179.316277066809,NA,NA,-177.571248432583,NA,NA,-172.734973958924,NA,-173.890552744691,NA,-170.664759454323,NA,-175.60478001939,NA,NA,NA,-172.478987872709,NA
"6","AFSC_Aleutians_Asteroidea","AFSC_Aleutians","Asteroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.127204315105,NA,NA,-182.236042324692,NA,NA,NA,NA,-176.970146930075,NA,NA,-179.351933518541,NA,NA,-175.506702046378,NA,NA,-179.281961334407,NA,-171.669894558824,NA,-182.745085751277,NA,-182.131703590095,NA,NA,NA,-181.102147519607,NA
"7","AFSC_Aleutians_Atheresthessp.","AFSC_Aleutians","Atheresthessp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.703660424916,NA,NA,-174.030216075582,NA,NA,NA,NA,-177.713879153269,NA,NA,-175.832732851169,NA,NA,-176.174218071005,NA,NA,-176.967209492635,NA,-175.907802687107,NA,-176.712211122084,NA,-173.210996741291,NA,NA,NA,-176.335190117588,NA
"8","AFSC_Aleutians_Bathyagonusnigripinnis","AFSC_Aleutians","Bathyagonusnigripinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.109076288466,NA,NA,-180.581954107215,NA,NA,NA,NA,-177.457995908444,NA,NA,-177.331377221947,NA,NA,-187.678249036145,NA,NA,-178.737626374429,NA,-171.669894558824,NA,-180.612283177324,NA,-170.331898066567,NA,NA,NA,-178.817096152427,NA
"9","AFSC_Aleutians_Bathymastersignatus","AFSC_Aleutians","Bathymastersignatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-186.161448187849,NA,NA,-183.154763582617,NA,NA,NA,NA,-183.066866064689,NA,NA,-183.530280524965,NA,NA,-182.165971857638,NA,NA,-180.003348336053,NA,-179.273450664368,NA,-182.896314514277,NA,-180.244843771081,NA,NA,NA,-182.834898015514,NA
"10","AFSC_Aleutians_Bathyrajasp.","AFSC_Aleutians","Bathyrajasp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-173.59456263618,NA,NA,-175.700494342477,NA,NA,NA,NA,-176.765791972774,NA,NA,-179.205369108139,NA,NA,-179.888564887583,NA,NA,-179.114743855232,NA,-178.848157484331,NA,-180.373880585625,NA,-176.054177207996,NA,NA,NA,-179.630479777154,NA
