"regspp","region","spp","year","spp.centroid.lat","spp.centroid.lon","spp.centroid.depth"
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1963",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1964",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1965",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1966",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1967",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1968",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1969",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1970",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1971",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1972",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1973",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1974",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1975",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1976",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1977",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1978",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1979",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1980",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1981",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1982",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1983",52.7722747305109,-184.379995416185,91.2600309293547
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1984",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1985",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1986",52.7295491637631,-187.18543554007,148.686411149826
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1987",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1988",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1989",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1990",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1991",52.8165423401884,-182.291149431071,107.574880938958
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1992",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1993",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1994",52.8181611165724,-178.424015322108,171.042401926994
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1995",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1996",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1997",52.8875126957132,-174.005964694955,153.616181250422
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1998",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","1999",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2000",52.1462209712332,-179.054679770697,247.414204081263
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2001",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2002",52.2429788537956,-175.099811690355,171.368555340753
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2003",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2004",52.3514949992487,-180.699601861191,117.472530245949
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2005",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2006",52.3593229521996,-174.42692458327,167.725858347302
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2007",NA,NA,NA
"AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria","2008",NA,NA,NA
