"","regspp","region","spp","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","AFSC_Aleutians_Actiniaria","AFSC_Aleutians","Actiniaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7722747305109,NA,NA,52.7295491637631,NA,NA,NA,NA,52.8165423401884,NA,NA,52.8181611165724,NA,NA,52.8875126957132,NA,NA,52.1462209712332,NA,52.2429788537956,NA,52.3514949992487,NA,52.3593229521996,NA,NA,NA,52.3821471015499,NA
"2","AFSC_Aleutians_Albatrossiapectoralis","AFSC_Aleutians","Albatrossiapectoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.224252559638,NA,NA,52.3623398066548,NA,NA,NA,NA,52.1440910241841,NA,NA,52.4427577025627,NA,NA,52.160908096132,NA,NA,52.4353412849438,NA,52.4810512622844,NA,52.3713191280649,NA,52.3836571943108,NA,NA,NA,52.2882584044008,NA
"3","AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.71864925131,NA,NA,53.9521643612335,NA,NA,NA,NA,51.912857189217,NA,NA,52.2573607943016,NA,NA,52.7246499838663,NA,NA,52.717144011034,NA,52.7183076990591,NA,52.7131314536372,NA,52.7192752995434,NA,NA,NA,52.7171805145043,NA
"4","AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3982874841738,NA,NA,52.4025341862941,NA,NA,NA,NA,51.7478728050564,NA,NA,52.1537411336719,NA,NA,52.2242251211273,NA,NA,51.9524450157976,NA,52.1917393207941,NA,52.3840416289744,NA,52.1960523111063,NA,NA,NA,52.2033292389013,NA
"5","AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.160971875,NA,NA,51.5725591824629,NA,NA,NA,NA,52.3404724003562,NA,NA,52.2280960008075,NA,NA,52.0464446492529,NA,NA,52.4795035074961,NA,52.1213767749262,NA,53.5373794562382,NA,52.0226185735308,NA,NA,NA,52.4126120637958,NA
"6","AFSC_Aleutians_Asteroidea","AFSC_Aleutians","Asteroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3776033144013,NA,NA,52.3010028694088,NA,NA,NA,NA,52.3015404733148,NA,NA,52.1710258647917,NA,NA,52.2858877079916,NA,NA,52.5428627247502,NA,52.2555020588235,NA,52.0387763505741,NA,52.3536039276836,NA,NA,NA,52.3749371358407,NA
"7","AFSC_Aleutians_Atheresthessp.","AFSC_Aleutians","Atheresthessp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4403979236766,NA,NA,52.4856879836658,NA,NA,NA,NA,52.4829807798299,NA,NA,52.4176372324998,NA,NA,52.538552960837,NA,NA,52.4063354042435,NA,52.3727517758705,NA,52.4210047878491,NA,52.5999652270157,NA,NA,NA,52.4036591920812,NA
"8","AFSC_Aleutians_Bathyagonusnigripinnis","AFSC_Aleutians","Bathyagonusnigripinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7187347313215,NA,NA,52.2674594818741,NA,NA,NA,NA,52.2691002487756,NA,NA,52.6369595978945,NA,NA,52.8100422891566,NA,NA,51.8864810723866,NA,52.2555020588235,NA,52.7210321708122,NA,52.9612807680214,NA,NA,NA,51.8081234475835,NA
"9","AFSC_Aleutians_Bathymastersignatus","AFSC_Aleutians","Bathymastersignatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.649945894146,NA,NA,52.4517528380588,NA,NA,NA,NA,52.4812112779476,NA,NA,52.3581204774931,NA,NA,52.4600407246503,NA,NA,52.2481651759268,NA,52.2982719784221,NA,52.3828774820673,NA,52.3996585488859,NA,NA,NA,52.4615958396293,NA
"10","AFSC_Aleutians_Bathyrajasp.","AFSC_Aleutians","Bathyrajasp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3629281071904,NA,NA,52.2114755110646,NA,NA,NA,NA,52.288229349551,NA,NA,52.3816045155535,NA,NA,52.4241602338188,NA,NA,52.4654245383631,NA,52.3603781577408,NA,52.4798669647149,NA,52.3635653678655,NA,NA,NA,52.4842876026385,NA
